GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.loyalty.service_engine.infrastructure.startup,ClassificationMatrixStartupLoader,2,264,2,20,0,70,2,15,0,6
,com.loyalty.service_engine.infrastructure.startup,ProductRuleStartupLoader,0,79,0,2,0,23,0,4,0,3
,com.loyalty.service_engine.infrastructure.startup,ServiceEngineStartupListener,11,0,0,0,4,0,3,0,3,0
,com.loyalty.service_engine.application.dto.configuration,ConfigurationUpdatedEvent.CapType,9,0,0,0,2,0,1,0,1,0
,com.loyalty.service_engine.application.dto.configuration,ConfigurationUpdatedEvent.PriorityItem,12,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.configuration,ConfigurationUpdatedEvent.RoundingRule,21,0,0,0,4,0,1,0,1,0
,com.loyalty.service_engine.application.dto.configuration,ConfigurationUpdatedEvent.CapAppliesTo,27,0,0,0,5,0,1,0,1,0
,com.loyalty.service_engine.application.dto.configuration,ConfigurationUpdatedEvent,36,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.infrastructure.cache,ProductRuleCache,0,70,0,0,0,23,0,8,0,8
,com.loyalty.service_engine.infrastructure.cache,ApiKeyCache,0,221,0,14,0,61,0,16,0,9
,com.loyalty.service_engine.application.dto.events,ClassificationRuleDeletedEvent,15,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.events,ClassificationRuleUpdatedEvent,30,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.events,RuleEvent,0,39,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto.events,ClassificationRuleCreatedEvent,27,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.events,FidelityRangeDeletedEvent,12,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.events,FidelityRangeCreatedEvent,24,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto.events,FidelityRangeUpdatedEvent,24,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.infrastructure.logging,CorrelationIdFilter,0,29,0,4,0,9,0,4,0,2
,com.loyalty.service_engine.domain.entity,ProductRuleEntity,11,0,0,0,5,0,2,0,2,0
,com.loyalty.service_engine.domain.entity,ClassificationRuleReplicaEntity,33,0,8,0,12,0,6,0,2,0
,com.loyalty.service_engine.domain.entity,EngineDiscountSettingsEntity,55,25,0,0,16,9,16,4,16,4
,com.loyalty.service_engine.domain.entity,CustomerTierReplicaEntity,33,0,8,0,12,0,6,0,2,0
,com.loyalty.service_engine.domain.entity,ApiKeyEntity,34,28,2,0,11,9,10,6,9,6
,com.loyalty.service_engine.domain.entity,TransactionLogEntity,28,0,8,0,9,0,5,0,1,0
,com.loyalty.service_engine.domain.entity,EngineDiscountPrioritiesEntity,23,0,6,0,6,0,5,0,2,0
,com.loyalty.service_engine.infrastructure.rabbitmq,CustomerTierSyncConsumer.CustomerTierSyncEvent,0,9,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.infrastructure.rabbitmq,CustomerTierSyncConsumer,19,223,1,13,2,62,1,12,0,5
,com.loyalty.service_engine.infrastructure.rabbitmq,RuleStatusEventConsumer,0,150,0,16,0,28,0,11,0,3
,com.loyalty.service_engine.infrastructure.rabbitmq,ClassificationRuleEventConsumer.ClassificationRuleEvent,0,39,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.infrastructure.rabbitmq,ApiKeyEventListener,30,249,4,19,5,51,5,19,2,10
,com.loyalty.service_engine.infrastructure.rabbitmq,RabbitMQConfigEngine,56,0,0,0,18,0,9,0,9,0
,com.loyalty.service_engine.infrastructure.rabbitmq,ClassificationRuleEventConsumer,6,243,1,11,2,71,1,11,0,5
,com.loyalty.service_engine.infrastructure.rabbitmq,RuleEventConsumer,5,234,3,17,1,59,3,14,0,6
,com.loyalty.service_engine.infrastructure.rabbitmq,ProductRuleEventListener,0,98,0,4,0,23,0,6,0,3
,com.loyalty.service_engine.infrastructure.security,ApiKeyAuthenticationFilter,0,117,0,16,0,33,0,13,0,5
,com.loyalty.service_engine.application.dto,ClassificationRuleDTO,0,36,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,ProductRuleEvent,0,30,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,AppliedRuleDetail,0,27,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,DiscountCalculateRequestV2,0,24,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,DiscountCalculateResponse.FidelityClassification,18,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,DiscountCalculateResponse,30,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,ClassificationResult,0,101,0,6,0,21,0,14,0,11
,com.loyalty.service_engine.application.dto,FidelityRangeDTO,30,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,CartItemRequest,0,15,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,RuleStatusChangedEvent,0,18,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,ClassifyRequestV1,0,15,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,DiscountCalculateRequest.DiscountItem,9,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,ClassifyCustomerRequest,15,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,ApiKeyEventPayload,0,18,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,DiscountCalculateRequest,15,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,DiscountCalculateResponseV2,0,33,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,ClassifyResponseV1,0,21,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.dto,DiscountCalculateResponse.DiscountItem,9,0,0,0,1,0,1,0,1,0
,com.loyalty.service_engine.application.dto,CustomerTierDTO,0,24,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.presentation.controller,HealthController,0,13,0,0,0,3,0,2,0,2
,com.loyalty.service_engine.presentation.controller,DiscountCalculationControllerV2,0,12,0,0,0,4,0,2,0,2
,com.loyalty.service_engine.application.service,ClassificationEngine,0,150,2,8,0,31,2,6,0,3
,com.loyalty.service_engine.application.service,EngineRuleService,0,215,0,4,0,55,0,6,0,4
,com.loyalty.service_engine.application.service,ProductRuleSyncService,0,225,0,0,0,44,0,7,0,7
,com.loyalty.service_engine.application.service,LogicConditionEvaluator,15,687,22,114,3,91,22,61,0,15
,com.loyalty.service_engine.application.service,ClassificationMatrixCaffeineCacheService,0,149,1,13,0,42,1,16,0,10
,com.loyalty.service_engine.application.service,FidelityClassificationService,4,479,5,91,0,114,5,50,0,7
,com.loyalty.service_engine.application.service,DiscountCalculationServiceV2,20,396,6,32,5,98,6,28,0,15
,com.loyalty.service_engine.application.service,DiscountCappingEngine.CapResult,0,12,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.application.service,DiscountCappingEngine.RoundingRule,0,21,0,0,0,4,0,1,0,1
,com.loyalty.service_engine.application.service,DiscountCappingEngine,1,98,1,13,1,22,1,12,0,5
,com.loyalty.service_engine.application.service,TransactionLogWriter,1,277,1,13,0,59,1,12,0,6
,com.loyalty.service_engine.infrastructure.util,HashingUtil,14,53,0,4,4,10,1,4,1,2
,com.loyalty.service_engine.infrastructure.exception,RuleEvaluationException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,BadRequestException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,ServiceUnavailableException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,ClassificationMatrixUnavailableException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,DiscountCalculationException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_engine.infrastructure.exception,CacheUnavailableException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,ResourceNotFoundException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,ApiErrorResponse,0,21,0,0,0,1,0,1,0,1
,com.loyalty.service_engine.infrastructure.exception,InvalidCartException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,ClassificationValidationException,5,4,0,0,2,2,1,1,1,1
,com.loyalty.service_engine.infrastructure.exception,GlobalExceptionHandler,0,132,0,0,0,24,0,14,0,14
